P1A1,P1A2,P1A3,P1A4,P1A5,P1A6,P2A1,P2A2,P2A3,P2A4,P2A5,P2A6
 10PM (12), play tag (6), mousse, wrapping paper (6) ," ant (40)",, 8AM, swings, bleach (15), T.P. (35) , fly,
 7 (18), arrest (12), softball (3), ketchup (30) ," elephants (15)",, 5 (17), question (24), mud wrestling (12), soda (16) , clowns (43),
 Tom Cruise (6), peaches, mattresses (18), squats (3) ," twice a day (10)",,  Will Smith, pizza (28), luggage (29), crunches/sit-ups (34) , everyday (46),
 Lion (10), 10 (33), Dr. (34), pizza (34) ," Apr. (47)",, Bear (7), 9 (21), lawyer (19), pudding , May,
 Deodorant (8), fruit (30), 13 (36), NE ," lace (21)",, Makeup (5), I.C. (23), 12 (34), VT , silk (48),
 $1K (28), fluid/water (23), bear (22), Chap-Stik (14) ," clothes (45)",, $5K (12), bucket (10), duck, lipstick (15) , makeup (2),
 Hamburger (34), toilets (26), 40 (9), clothes (8) ," rhinoceros (5)",, Hot dog (10), sinks (11), 50 (24), crib (33) , bull (42),
 50 (21), football (13), Bob (24), walking (30) ," onion (35)",, 40 (8), track (4), Tim (8), crawling , dill,
 Hats (8), restaurant (20), money (22), NY (30) ," popcorn (6)",, Bug spray (19), bath/restroom (26), hand-me-downs (6), BOS (8) , chips (44),
 5 (24), guitar (13), Larry King (3), birds (6) ," get married (37)",, 1 (14), piano (23), Katy Perry, children (6) , have children (11),
 School (10), boss (5), courvoiser (3), m&ms (34) ," $1K (11)",, Exercise (20), mom (8), vodka (22), Jolly Ranchers , $50 (7),
 50% (5), snowmen (27), sandwich (22), solitaire (12) ," techno",, 80% (12), snowball fights (27), TV dinner (10), poker (32) , heavy metal (15),
 Monument, 8 (27), group (2), NY (42) ," potato chips (9)",, Spelling Bee, 7 (16), folks (22), L.A. (10) , pretzels,
 “Barbara Walters”, sex (10), 50 (22), cake (35) ," police car (24)",, “Oprah” (31), sing, 20 (13), bread (31) , fire truck (43),
 Five (19), tickle things (19), poop (20), guns (36) ," birds (41)",, Seven, make headdresses, cry (26), $ (5) , planes (32),
 Snake (22), food (23), baked (26) ," spark plug (5)",,, Bear, pet/animal (9), Tut (18), mashed (29) , filter (11),
 3rd (6), chips (31), gloves, back (42) ," dog (33)",, 7th (13), Coke (10), pants (14), chest (27) , cat (47),
 Player (21), four (19), speak (30), spouse (35) ," C-SPAN",, Two (9), gab (6), boss (13) , TLC (19),,
 Soft (28), tiger (7), football (20), one day (8) ," movie (18)",, Hard (12), monkey (24), running (28), wk. (35) , h/motel (40),
 Wool (23), dark (11), in-laws (11), 40 (32) ," spaghetti (5)",, Brillo (7), flying (4), boss (21), 30 (7) , fries (13),
 Car (7), Mickey Mouse (21), heart (16) ," Grammys (14)",,, A/C (4), “DUMBO” (16), minds (3), Academy Awards (35) , mosquitos (43),
 Her (28), head (5), golf (25), five (15) ," gavel (52)",, Her mom, gizzard (14), two (30) , robe (20),,
 Girdle (30), hospital, fish (16), 5 (22) ," food",, Thong (13), elevator (24), dog (20), 6 (5) , cigarette smoke (44),
 Locker rm. (9), four (8), get dressed (2), cruise (15) ," Sun. (48)",, Beach (12), two (5), relationships (6), twos , Sat. (35),
 Plane (22), 16 (22), cleaning (18), cling-cling ," father",, Church (5), 12 (6), water (4), sting-sting , Steve Harvey,
 Halloween (29), 4, spouse/mate (42), back (33) ," $ (20)",, Valentine's Day (16), 7 (15), sister, arms (7) , cars,
 Drive (2), 21 (7), bear (21), fast food (31) ," fizzy (17)",, Play piano, 25 (21), lion (10) , Lizzie (27),,
 Chest (35), 10 (21), trees (20), barracks (28) ," hockey (7)",, Back (15), seven (6), snow (15), boots (48) , football (49),
 Chest (4), -educator, paring (4), ball (15) ," pumpkins",, Penis, legal (7), steak (14), goalies , pies (39),
 Shopping (24), Jul. (17), 100 (24), ankle (33) ," mom (7)",, Ballet (16), Dec. (27), 200 (20), waist (10) , best friend (19),
 Snake (24), I.C. (21), 10 (34), cello (38) ," travel/vacations (43)",, Dog (10), P.B. (21), 9 (2), saxophone , buy cars (32),
 Wallets (13), garbage (14), workers/hard hats (26), sponge (14) ," 9 (17)",, Glasses (3), make the bed (29), bulldozers (15), soap/shampoo (30) , 10 (43) ,
 Balls (3), flamingo (5), pancakes (10), T.P. (10) ," 16 (36) ",, Towels (16), giraffe (26), bread (12), toilets (32) , 14 (10),
 Six (3), breadsticks (2), Paris, bottom (15) ," car (10)",, Seven (23), cheesesticks (13), London, waist , couches (48),
 5'4″ (18), biscuits (5), AR ," car (17)",,, 5'6″ (21), doughnuts (4), work (13), OK (2) , faucets/plumbing (39) ,
 7 (15), guard, pitbull (5), carnation (32) ," plane (15)",, 8 (24), word (26), Mastiff, orchid , balloons (39),
 I.C. (27), 10 (6), mission (8), piano/music (30) ," call locksmith (8)",, Cookies (2), four (7), sexual (5), karate (3) , open yourself (7),
 Windshield (7), 10 (23), garlic (19), inflation ," bras (42)",, Seatbelts, 8 (20), onion (33), taxes (31) , pantyhose (17),
 Car (4), spouse (4), Lisa (14), bug (3) ," 24 (3)",, Heart, phone (21), Lauren (6), bother (32) , 20,
 7 (10), Aug. (15), oboe (4), 35 (5) ," tumors (5)",, 8 (21), Sept. (10), guitar (9), 30 (16) , moles (40) ,
 Date (12), 15 (2), CA (11), birds (8) ," boots",, Drive (13), 30 (12), FL (27), leaves , socks (35),
 9, Johnson + Johnson, marry (21), bones (33) ," dance (43)",, 2 (11), butt paste, die (29), dog (22) , 9-iron/golf (8),
