GameID,PostID,FamilyAID,FamilyBID,GameTitle,FastMoneyID,QS_FastMoney_Q1,QS_FastMoney_Q2,QS_FastMoney_Q3,QS_FastMoney_Q4,QS_FastMoney_Q5,QS_FastMoney_Answers
1,201,1,2,"G1: Hutchinsons (Kindrell, Kessler, Kinnzon, Jay & Kyler) v. Praegers (Chuck, Jenna, Cindy, Alex & Maggie)",6,: Tell me the hr. of day when most people watch the news.,: An activity kids do at day camp.,: Something people have done to their hair.,: Something people unroll.,": A creature that's so little, you CAN'T see its face.","Chuck: 10PM (12), play tag (6), mousse, wrapping paper (6) & ant (40)
Alex: 8AM, swings, bleach (15), T.P. (35) & fly
Unsaid #1s: 6PM, swim & cut"
2,201,3,4,"G2: Poes (Micah, Toby, Daniel, Laura & Mark) v. Howards (Melton, Brandy, Yvonne, Robin & Melton Jr.)",11,": On the scale, how well do you think a flu short protects you?",: Something cops do to a suspect.,: A women's sport that men like to watch.,: Something in your refrigerator that comes in a bottle.,: Something at the circus that a three-yr.-old might be scared of.,"Yvonne: 7 (18), arrest (12), softball (3), ketchup (30) & elephants (15)
Robin: 5 (17), question (24), mud wrestling (12), soda (16) & clowns (43)
Unsaid #1s: 8 & basketball || "
3,216,5,2,"G1: Belts (Valerie, Cyndaria, Yolanda, Iva & Leland) v. Praegers",17,: Name a HOLLYWOOD leading man who would make a great-looking President.,: A food starting w/ P.,: Something people tie down on top of their cars.,: An exercise you DON'T need to go down to the gym to do.,: How often do you floss?,"Yolanda: Tom Cruise (6), peaches, mattresses (18), squats (3) & twice a day (10)
Leland:  Will Smith, pizza (28), luggage (29), crunches/sit-ups (34) & everyday (46)
Unsaid #1: George Clooney"
4,216,4,6,"G2: Howards v. Swists (Sheryl, Tom, Chris, Matt & Eric)",22,": According to men, as a little kid, what was your favorite animal to pretend to be?",": On the scale, how well do you kiss?",: An occupation often portrayed on TV.,: A food that some like thin & others like thick.,: A month that's also someone's name.,"Yvonne: Lion (10), 10 (33), Dr. (34), pizza (34) & Apr. (47)
Robin: Bear (7), 9 (21), lawyer (19), pudding & May
Unsaid #1: Horse || "
5,282,5,7,"G1: Belts v. Jameses (Jami, Debi, Georgia, Gina & Rae Jean)",27,: Something a person might FORGET to put on & leave the home in a hurry.,: Something you need to make a smoothie.,: Tell me the age when a boy starts going through PUBERTY.,: A U.S. state that you're NOT sure how to spell.,: A material used to make sexy lingerie.,"Cyndaria: Deodorant (8), fruit (30), 13 (36), NE & lace (21)
Leland: Makeup (5), I.C. (23), 12 (34), VT & silk (48)
Unsaid #1s: Jacket/coat & MA"
6,282,4,8,"G2: Howards v. Bergerons (Kerri, Megan, Amy, Lisa & Mike)",32,: Tell me how much the avg. person spends when they take a trip to Vegas.,: Something a window washer needs to do their job.,: Something fuzzy.,: Something you do to your lips.,: Something a teenager might buy w/ their first credit card.,"Yvonne: $1K (28), fluid/water (23), bear (22), Chap-Stik (14) & clothes (45)
Robin: $5K (12), bucket (10), duck, lipstick (15) & makeup (2)
Unsaid #1s: Cat & lick/moisten || "
7,283,5,9,"G1: Belts v. Farwells (Melissa, Sarah, Ron, Paulette & Angela)",37,: Name a food you'd expect to see at every roadside diner in America.,: An item in your home that has a lot of germs.,: Name the age when you start feeling your age.,: Name something a baby might need help getting out of.,: Tell me something that has horns.,"Melissa: Hamburger (34), toilets (26), 40 (9), clothes (8) & rhinoceros (5)
Paulette: Hot dog (10), sinks (11), 50 (24), crib (33) & bull (42)"
8,283,4,10,"G2: Howards v. Turks (Kathy, Barb, Diane, Pam & Rose)",42,: Name an age when people have trouble remembering things.,: The toughest sport to train for.,: Give a man's name that's three letters long.,: Something toddlers have a hard time doing on their own.,: A type of dip people eat w/ chips.,"Yvonne: 50 (21), football (13), Bob (24), walking (30) & onion (35)
Robin: 40 (8), track (4), Tim (8), crawling & dill
Unsaid #1: Boxing || "
9,295,11,9,"G1: Khourys (Andrea, Bianca, Ian, Mary Ann & Angie) v. Farwells",47,: Something you take w/ you on an African safari.,: A good place to overhear other people's conversations.,: Something you don't mind giving to others.,: A city that has an MLB team.,: A food that's impossible to stop eating once you start.,"Melissa: Hats (8), restaurant (20), money (22), NY (30) & popcorn (6)
Paulette: Bug spray (19), bath/restroom (26), hand-me-downs (6), BOS (8) & chips (44)
Unsaid #1: Cameras"
10,295,4,12,"CG: Howards v. Morrisons (Melissa, Matthew, Susie, Sarah & Joshua)",52,": According to men on the scale, rate how well you understand women.",: Which musical instrument do you think's the hardest to learn to play?,: Who's the best interviewer on TV?,: Something you see in a city park.,: Something moms nag their grown daughters to do.,"Melissa: 5 (24), guitar (13), Larry King (3), birds (6) & get married (37)
Matthew: 1 (14), piano (23), Katy Perry, children (6) & have children (11)
Unsaid #1s: Barbara Walters & benches || "
