,PostTitle,Version,PostDate,GameTitle,GameHeader,GameInfo,FamilyA,FamilyB,FamilyAInfo,FamilyBInfo,FamilyA_,FamilyB_
0,“Family Feud” 11/23/22,Standard,,"G1: Edwardses (East St. Louis, IL) v. Crowders",G1,,Edwardses,Crowders,,,Edwards,Crowder
1,“Family Feud” 11/23/22,Standard,,G2: Buccholzes v. Herberts,G2,,Buccholzes,Herberts,,,Buccholz,Herbert
2,“Family Feud” 11/22/22,Standard,,"G1: Hills (Dianna, Susanna, Jack, Pat & Bob) v. Crowders",G1,,Hills,Crowders,,,Hill,Crowder
3,“Family Feud” 11/22/22,Standard,,"G2: Buccholzes (Vegas)(Krystal, Daniel, Kimberly, Joseph & Rhonda) v. Traverses",G2,,Buccholzes,Traverses,,,Buccholz,Travers
4,“Family Feud” 11/21/22,Standard,,"G1: Shaddixes v. Crowders (Decatur)(Jarred, Karen, Katina, Kevin & Darius)",G1,,Shaddixes,Crowders,,,Shaddix,Crowder
5,“Family Feud” 11/21/22,Standard,,"G2: Drelicks v. Traverses (Temple Hills, MD)(Tonja, Brennan, Donovan “Donny”, Jamal & Charles)",G2,,Drelicks,Traverses,,,Drelick,Travers
6,“Family Feud” 11/18/22,Standard,,"G1: Shaddixes (BIR)(Lisa, Katie, Meredith, Joan & Rachel) v. O'Gormans",G1,,Shaddixes,O'Gormans,,,Shaddix,O'Gorman
7,“Family Feud” 11/18/22,Standard,,"G2: Drelicks v. Hoggses (Columbus, NJ)(Seantia, Tyneshia, Tizana, Big Sean & Sean)",G2,,Drelicks,Hoggses,,,Drelick,Hoggs
8,“Family Feud” 11/17/22,Standard,,"G1: Joneses (Long Beach)(Tami, Jacques, Rainey, Raven & James) v. O'Gormans",G1,,Joneses,O'Gormans,,,Jones,O'Gorman
9,“Family Feud” 11/17/22,Standard,,"G2: Drelicks v. Herberts (SAC)(Shunise, Asia, Crystal, Diamond & Vanessa)",G2,,Drelicks,Herberts,,,Drelick,Herbert
10,“Family Feud” 11/16/22,Standard,,"G1: Kellys v. O'Gormans (Oswego, NY)(Jill, Kyra, Hannah, Huck & Sean)",G1,,Kellys,O'Gormans,,,Kelly,O'Gorman
11,“Family Feud” 11/16/22,Standard,,"G2: Drelicks (Harleysville, PA)(Tracey, Joe, Jordynn, Jake & Deb) v. Fords",G2,,Drelicks,Fords,,,Drelick,Ford
12,“Family Feud” 11/15/22,Standard,,"G1: Kellys (Kennesaw)(Sheri, Doc, Troy, Larry & Will) v. Arguelleses",G1,,Kellys,Arguelleses,,,Kelly,Arguelles
13,“Family Feud” 11/15/22,Standard,,G2: Sateles v. Fords,G2,,Sateles,Fords,,,Satel,Ford
14,“Family Feud” 11/14/22,Standard,,"G1: Vitcherses v. Arguelleses (MIA, FL)(Maria, Frisco, Nicole, Cristine & Jacky)",G1,,Vitcherses,Arguelleses,,,Vitchers,Arguelles
15,“Family Feud” 11/14/22,Standard,,"G2: Sateles (Mililani, HI)(Raeceen, Joy, Brashton, Lee Ann & Liko) v. Carthons",G2,,Sateles,Carthons,,,Satel,Carthon
16,“Family Feud” 11/11/22,Standard,,"Wounded Warrior Projects Game: Men (John Rego, Tyshawn Jenkins, Michael “CQ” Carrasquillo, Jeffrey Adams, Sergio Alfaro & Bryan Wagner) v. Women (Tonya Oxendine, Antoinette Wallace, Jess, Lisa, Yolanda Poullard & Yomari Armstrong)",Wounded Warrior Projects Game,,Men,Women,,,Men,Women
17,“Family Feud” 11/11/22,Standard,,"G2: Ogles (Kevin, Jennie, Anthony, Lisa & Pat) v. Carthons",G2,,Ogles,Carthons,,,Ogl,Carthon
18,“Family Feud” 11/10/22,Standard,,"G1: Vitcherses (Columbia, MD)(Dawn Marie, Angela, Tracey, Christen & Keith) v. Riccos",G1,,Vitcherses,Riccos,,,Vitchers,Ricco
