,PostTitle,Version,PostDate,GameTitle,GameHeader,GameInfo,FamilyA,FamilyB,FamilyAInfo,FamilyBInfo
0,“Family Feud” 11/23/22,Standard,2022-11-23,"G1: Edwardses (East St. Louis, IL) v. Crowders",G1,,Edwardses ,Crowders,"['(East St. Louis, IL)']",
1,“Family Feud” 11/23/22,Standard,2022-11-23,G2: Buccholzes v. Herberts,G2,,Buccholzes,Herberts,,
2,“Family Feud” 11/22/22,Standard,2022-11-22,"G1: Hills (Dianna, Susanna, Jack, Pat & Bob) v. Crowders",G1,,Hills ,Crowders,"['(Dianna, Susanna, Jack, Pat & Bob)']",
3,“Family Feud” 11/22/22,Standard,2022-11-22,"G2: Buccholzes (Vegas)(Krystal, Daniel, Kimberly, Joseph & Rhonda) v. Traverses",G2,,Buccholzes ,Traverses,"['(Vegas)', '(Krystal, Daniel, Kimberly, Joseph & Rhonda)']",
4,“Family Feud” 11/21/22,Standard,2022-11-21,"G1: Shaddixes v. Crowders (Decatur)(Jarred, Karen, Katina, Kevin & Darius)",G1,,Shaddixes,Crowders ,,"['(Decatur)', '(Jarred, Karen, Katina, Kevin & Darius)']"
5,“Family Feud” 11/21/22,Standard,2022-11-21,"G2: Drelicks v. Traverses (Temple Hills, MD)(Tonja, Brennan, Donovan “Donny”, Jamal & Charles)",G2,,Drelicks,Traverses ,,"['(Temple Hills, MD)', '(Tonja, Brennan, Donovan “Donny”, Jamal & Charles)']"
6,“Family Feud” 11/18/22,Standard,2022-11-18,"G1: Shaddixes (BIR)(Lisa, Katie, Meredith, Joan & Rachel) v. O’Gormans",G1,,Shaddixes ,O’Gormans,"['(BIR)', '(Lisa, Katie, Meredith, Joan & Rachel)']",
7,“Family Feud” 11/18/22,Standard,2022-11-18,"G2: Drelicks v. Hoggses (Columbus, NJ)(Seantia, Tyneshia, Tizana, Big Sean & Sean)",G2,,Drelicks,Hoggses ,,"['(Columbus, NJ)', '(Seantia, Tyneshia, Tizana, Big Sean & Sean)']"
8,“Family Feud” 11/17/22,Standard,2022-11-17,"G1: Joneses (Long Beach)(Tami, Jacques, Rainey, Raven & James) v. O’Gormans",G1,,Joneses ,O’Gormans,"['(Long Beach)', '(Tami, Jacques, Rainey, Raven & James)']",
9,“Family Feud” 11/17/22,Standard,2022-11-17,"G2: Drelicks v. Herberts (SAC)(Shunise, Asia, Crystal, Diamond & Vanessa)",G2,,Drelicks,Herberts ,,"['(SAC)', '(Shunise, Asia, Crystal, Diamond & Vanessa)']"
10,“Family Feud” 11/16/22,Standard,2022-11-16,"G1: Kellys v. O’Gormans (Oswego, NY)(Jill, Kyra, Hannah, Huck & Sean)",G1,,Kellys,O’Gormans ,,"['(Oswego, NY)', '(Jill, Kyra, Hannah, Huck & Sean)']"
11,“Family Feud” 11/16/22,Standard,2022-11-16,"G2: Drelicks (Harleysville, PA)(Tracey, Joe, Jordynn, Jake & Deb) v. Fords",G2,,Drelicks ,Fords,"['(Harleysville, PA)', '(Tracey, Joe, Jordynn, Jake & Deb)']",
12,“Family Feud” 11/15/22,Standard,2022-11-15,"G1: Kellys (Kennesaw)(Sheri, Doc, Troy, Larry & Will) v. Arguelleses",G1,,Kellys ,Arguelleses,"['(Kennesaw)', '(Sheri, Doc, Troy, Larry & Will)']",
13,“Family Feud” 11/15/22,Standard,2022-11-15,G2: Sateles v. Fords,G2,,Sateles,Fords,,
14,“Family Feud” 11/14/22,Standard,2022-11-14,"G1: Vitcherses v. Arguelleses (MIA, FL)(Maria, Frisco, Nicole, Cristine & Jacky)",G1,,Vitcherses,Arguelleses ,,"['(MIA, FL)', '(Maria, Frisco, Nicole, Cristine & Jacky)']"
15,“Family Feud” 11/14/22,Standard,2022-11-14,"G2: Sateles (Mililani, HI)(Raeceen, Joy, Brashton, Lee Ann & Liko) v. Carthons",G2,,Sateles ,Carthons,"['(Mililani, HI)', '(Raeceen, Joy, Brashton, Lee Ann & Liko)']",
16,“Family Feud” 11/11/22,Standard,2022-11-11,"Wounded Warrior Projects Game: Men (John Rego, Tyshawn Jenkins, Michael “CQ” Carrasquillo, Jeffrey Adams, Sergio Alfaro & Bryan Wagner) v. Women (Tonya Oxendine, Antoinette Wallace, Jess, Lisa, Yolanda Poullard & Yomari Armstrong)",Wounded Warrior Projects Game,,Men ,Women ,"['(John Rego, Tyshawn Jenkins, Michael “CQ” Carrasquillo, Jeffrey Adams, Sergio Alfaro & Bryan Wagner)']","['(Tonya Oxendine, Antoinette Wallace, Jess, Lisa, Yolanda Poullard & Yomari Armstrong)']"
17,“Family Feud” 11/11/22,Standard,2022-11-11,"G2: Ogles (Kevin, Jennie, Anthony, Lisa & Pat) v. Carthons",G2,,Ogles ,Carthons,"['(Kevin, Jennie, Anthony, Lisa & Pat)']",
18,“Family Feud” 11/10/22,Standard,2022-11-10,"G1: Vitcherses (Columbia, MD)(Dawn Marie, Angela, Tracey, Christen & Keith) v. Riccos",G1,,Vitcherses ,Riccos,"['(Columbia, MD)', '(Dawn Marie, Angela, Tracey, Christen & Keith)']",
19,“Family Feud” 11/10/22,Standard,2022-11-10,"G2: Kisers v. Carthons (Thomaston, GA)(Courtney, Chrystal, Tonya, Paulette & Johnathan)",G2,,Kisers,Carthons ,,"['(Thomaston, GA)', '(Courtney, Chrystal, Tonya, Paulette & Johnathan)']"
20,“Family Feud” 11/9/22,Standard,2022-11-09,"G1: Bradfords (Lauren, Donny, Michelle, Tony & Marvin) v. Riccos",G1,,Bradfords ,Riccos,"['(Lauren, Donny, Michelle, Tony & Marvin)']",
21,“Family Feud” 11/9/22,Standard,2022-11-09,"G2: Kisers v. Osbornes (Athens, GA)(John, Allie, John, Jake & Bailey)",G2,,Kisers,Osbornes ,,"['(Athens, GA)', '(John, Allie, John, Jake & Bailey)']"
22,“Family Feud” 11/8/22,Standard,2022-11-08,"G1: Petersons v. Riccos (CLE)(Lori, Cindy, Chuck, Mike & Jen)",G1,,Petersons,Riccos ,,"['(CLE)', '(Lori, Cindy, Chuck, Mike & Jen)']"
23,“Family Feud” 11/8/22,Standard,2022-11-08,"G2: Kisers (Charlotte)(Kiara, Danielle, Shawn, Crystal & Bridgett) v. Sanderses",G2,,Kisers ,Sanderses,"['(Charlotte)', '(Kiara, Danielle, Shawn, Crystal & Bridgett)']",
24,“Family Feud” 11/7/22,Standard,2022-11-07,"G1: Petersons (San Antonio)(Sharri, Dwayne, Derricka, Dorian & Dimitri) v. Jews",G1,,Petersons ,Jews,"['(San Antonio)', '(Sharri, Dwayne, Derricka, Dorian & Dimitri)']",
25,“Family Feud” 11/7/22,Standard,2022-11-07,"G2: Fosters (Lubbock)(Amy, Peggy, Alison, Debra & Megan) v. Sanderses",G2,,Fosters ,Sanderses,"['(Lubbock)', '(Amy, Peggy, Alison, Debra & Megan)']",
26,“Family Feud” 11/4/22,Standard,2022-11-04,"G1: Biscettes (BKN)(Jeremy, Celeste, Nicole, Malika & Kisha) v. Jews",G1,,Biscettes ,Jews,"['(BKN)', '(Jeremy, Celeste, Nicole, Malika & Kisha)']",
27,“Family Feud” 11/4/22,Standard,2022-11-04,"G2: Nguyens (POR, OR)(Victoria, Tanh, Thuy, KC & Toai) v. Sanderses",G2,,Nguyens ,Sanderses,"['(POR, OR)', '(Victoria, Tanh, Thuy, KC & Toai)']",
28,“Family Feud” 11/3/22,Standard,2022-11-03,CG: Owenses v. Jews,CG,,Owenses,Jews,,
29,“Family Feud” 11/3/22,Standard,2022-11-03,"G2: Loefflers v. Sanderses (Dayton)(Melanie, Roxane, Lisa, Ryan & Kellen)",G2,,Loefflers,Sanderses ,,"['(Dayton)', '(Melanie, Roxane, Lisa, Ryan & Kellen)']"
30,“Family Feud” 11/2/22,Standard,2022-11-02,"G1: Owenses v. Jads (DEN)(Rosa, Maher, Lynne, Maysa & Lamees)",G1,,Owenses,Jads ,,"['(DEN)', '(Rosa, Maher, Lynne, Maysa & Lamees)']"
31,“Family Feud” 11/2/22,Standard,2022-11-02,"G2: Loefflers v. Turners (Charleston, SC)(Shavaun, Ron, Val, Tyrone & Sham)",G2,,Loefflers,Turners ,,"['(Charleston, SC)', '(Shavaun, Ron, Val, Tyrone & Sham)']"
32,“Family Feud” 11/1/22,Standard,2022-11-01,"G1: Owenses v. Scotts (Huntsville)(Marsau, Latisha, Micah, Kimmi & Maurice)",G1,,Owenses,Scotts ,,"['(Huntsville)', '(Marsau, Latisha, Micah, Kimmi & Maurice)']"
33,“Family Feud” 11/1/22,Standard,2022-11-01,"G2: Loefflers (Cedar Rapids)(Bri, Patrick, Kymm, Alyssa & Jordan) v. Davises",G2,,Loefflers ,Davises,"['(Cedar Rapids)', '(Bri, Patrick, Kymm, Alyssa & Jordan)']",
34,“Family Feud” 10/31/22,Standard,2022-10-31,"G1: Owenses v. Fraziers (K.C.)(Nicole, Grady, Deena, Sherik & Richa)",G1,,Owenses,Fraziers ,,"['(K.C.)', '(Nicole, Grady, Deena, Sherik & Richa)']"
35,“Family Feud” 10/31/22,Standard,2022-10-31,G2: Stephenses v. Davises,G2,,Stephenses,Davises,,
36,“Family Feud” 10/28/22,Standard,2022-10-28,"CG: Owenses (Coeur D’Alene, ID)(J.O., Raydeane, Seth, Jaymee & Christopher) v. Fishers",CG,,Owenses ,Fishers,"['(Coeur D’Alene, ID)', '(J.O., Raydeane, Seth, Jaymee & Christopher)']",
37,“Family Feud” 10/28/22,Standard,2022-10-28,"G2: Stephenses (MEM)(Demone, Cheryl, Derone, Candice & Courtney) v. Waiteses",G2,,Stephenses ,Waiteses,"['(MEM)', '(Demone, Cheryl, Derone, Candice & Courtney)']",
38,“Family Feud” 10/27/22,Standard,2022-10-27,"G1: Jews (Diamond Bar)(Sam, Shirley, Steve, Scott & Sean) v. Fishers",G1,,Jews ,Fishers,"['(Diamond Bar)', '(Sam, Shirley, Steve, Scott & Sean)']",
39,“Family Feud” 10/27/22,Standard,2022-10-27,"G2: Wilsons v. Waiteses (Festus, MO)(Bryan, Stephanie, Ali, Collin & Annie)",G2,,Wilsons,Waiteses ,,"['(Festus, MO)', '(Bryan, Stephanie, Ali, Collin & Annie)']"
40,“Family Feud” 10/26/22,Standard,2022-10-26,"G1: Barrioses (Natchitoches, LA)(Michelle, Darlene, Stephanie, Kristen & Kaylee) v. Fishers",G1,,Barrioses ,Fishers,"['(Natchitoches, LA)', '(Michelle, Darlene, Stephanie, Kristen & Kaylee)']",
41,“Family Feud” 10/26/22,Standard,2022-10-26,"G2: Wilsons (Ft. Myers)(Gayle, Cathy, Debbie, Ed & Andy) v. Murphys",G2,,Wilsons ,Murphys,"['(Ft. Myers)', '(Gayle, Cathy, Debbie, Ed & Andy)']",
42,“Family Feud” 10/25/22,Standard,2022-10-25,G1: Tooles v. Fishers (PHI),G1,,Tooles,Fishers ,,['(PHI)']
43,“Family Feud” 10/25/22,Standard,2022-10-25,"G2: Alejandros (BUF)(Amber, Cindy, Felix, Jordan & Ruby) v. Murphys",G2,,Alejandros ,Murphys,"['(BUF)', '(Amber, Cindy, Felix, Jordan & Ruby)']",
44,“Family Feud” 10/24/22,Standard,2022-10-24,"G1: Tooles (Newnan, GA)(Sally, Mark, Will, Lily & Cameron) v. Andersons",G1,,Tooles ,Andersons,"['(Newnan, GA)', '(Sally, Mark, Will, Lily & Cameron)']",
45,“Family Feud” 10/24/22,Standard,2022-10-24,"G2: Jackferts v. Murphys (Baltimore)(Arrika, Dorien, Kwane, Corey & Donyae)",G2,,Jackferts,Murphys ,,"['(Baltimore)', '(Arrika, Dorien, Kwane, Corey & Donyae)']"
