Question,Source,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer1_Score,Answer2_Score,Answer3_Score,Answer4_Score,Answer5_Score,Answer6_Score,Answer7_Score,Answer8_Score,Extra_Column_Don't_Delete
Name something a nudist might put on in the morning.,Family Feud,Lotion/sunscreen,Socks,Glasses,Hat,Jewelry/watch,Smile,Deoderant,,49,8,8,6,4,4,4,,0
What's a kids game you play a sexy version of as an adult?,Family Feud,Twister,Spin the bottle,hide & seek,doctor,Pin Tail on Donkey,,,,61,8,7,6,4,,,,0
Name a place where you'd hear a lot of panting.,Family Feud,Kennel/shelter,Gym,Bedroom,Track/meet/race,Dog run/park,Vet's Office,,,31,21,14,8,7,3,,,0
Name something you're asked to do at the doctor's office.,Family Feud,Undress,Get Weighed,Open Mouth/Ahh,Urine Sample,Deep Breaths,,,,30,17,17,12,9,,,,0
Name something that shrinks.,Family Feud,Clothes/fabrics,Old folks,Bank account,"Guy's ""thing""",shrinky-dinks/toys,ice cubes,,,71,7,6,3,2,2,,,0
Name something you would see at a seance.,Family Feud,Candles,Ghosts/spirits,medium/people,crystal ball,ouija board,moving object,,,34,24,23,9,3,2,,,0
Name something about a man that might remind you of an elf.,Family Feud,Big pointy ears,height,nose,two incher,muchkin voice,clothes/tights,tiny hands/feet,,49,20,8,5,4,4,3,,0
If you could fly like a bird name something you might poop on?,Family Feud,people/politician,automobile,building,food/picnic,statue,,,,72,20,3,3,2,,,,0
(women) I like men who smell like what?,Family Feud,soap/clean,cologne/aftershave,nature/ocean,food/spices,money,sweat,flowers,,35,28,17,10,4,2,2,,0
Past or present which American President would look best bare-chested on a horse?,Family Feud,Obama,Kennedy,Reagan,Clinton,Trump,Lincoln,Washington,,33,29,8,6,6,5,4,,0
Name a place you might wake up & NOT remember how you got there.,Family Feud,My Home/lawn,someone's house/bed,jail,Hospital,Hotel/Motel,Car,,,30,17,10,8,8,5,,,0
Seven ___________,Family Feud,Eleven,Dwarfs,UP,Years/Bad Luck,,,,,32,12,6,6,,,,,0
The cowboy was allergic to horses so he had to ride through the Wild West on a what?,Family Feud,Donkey/Mule,Cow/bull,camel,motorcycle/moped,Bicycle,Ostrich,,,37,29,11,4,3,3,,,0
Name a fun activity in kindergarten that you wish could be a fun activity at work.,Family Feud,Arts and Crafts,Naptime,Playtime/Recess,singalongs,snacktime,storytime,show & tell,,37,25,23,5,4,2,2,,0
"In hell, you might have to share a bed w/ someone who _______________ at night",Family Feud,Snores,Toots/Dutch Oven,screams,Wets the Bed,murders,,,,50,34,8,3,2,,,,0
If cows could talk tell me something it might complain about?,Family Feud,Milking,boring food/grass,Killed/eaten,weather/heat,annoying flies,standing all day,too fat,mad cow disease,49,17,6,6,5,3,2,2,0
Name something that might steal a squirrel's nuts.,Family Feud,Bird,another squirrel,chipmunk,raccoon,mouse/rat,Cat,person,,26,24,22,7,4,3,3,,0
Name something that gets backed up.,Family Feud,toilet/drain,data/documents,traffic,car,bowels/person,,,,60,20,10,7,3,,,,0
"If you didn't have a barf bag on an airplane, name something you might puke into.",Family Feud,hat/clothes,(my wife's) purse,seat pocket,cup,someone's lap,seat,magazine,toilet,20,19,13,11,6,5,4,4,0
Name something that might be leaking where a plumber would be NO help.,Family Feud,bladder/body,roof,car/tires,gas line,groceries/milk,fridge/freezer,balloons,data/secrets,33,22,21,5,3,3,2,2,0
What do you want right this minute?,Family Feud,food/dessert,money,sleep,booze,sex,,,,21,17,16,14,9,,,,0
