CommentID,PostID,CommentOrder,Author,Comment
1,2,1,jpgenius ,I had a dream about the Cloweses’ 🚗 win.
2,2,2,jpgenius ,BTW the Simmons family were here 2 yrs. prior.
3,4,1,JP Genius ,"Did Mark REALLY just say…? Yeah, I think I’m gonna boycott the Feud!"
4,5,1,jpgenius ,Always nice to see a family come back and win the 🚗. Go Simmons family!
5,6,1,jpgenius ,Stowers family KILLED IT! Especially Checo! This family ROCKS!
6,6,2,jpgenius ,"Bobby, I’m pretty sure you wanted the Stowers family to win the car, huh?"
7,9,1,JP Genius ,Man! No car for the Stowerses? And they were so good!
8,9,2,jpgenius ,"Well, it wouldn’t do us any justice not to bring them back, and we did so on 2/21/2017. And of course, they got themselves a 🚗."
9,9,3,Matthew Yothers ,"I agree, and also I think the Dickens family competed on the Feud two years ago. Did anyone else realize that?"
10,9,4,jpgenius ,Yes.
11,9,5,jpgenius ,It took a while to figure that one out.
12,10,1,JP Genius ,"Bobby, guess what? Zoey Davis on the Feud is Zoey Davis from Wheel of Fortune (6/13/12)!"
13,10,2,jpgenius ,These five sisters… 😂😂😂
14,11,1,Matthew Yothers ,Karen should have said golf for that last question.
15,11,2,FEWDLUVR3 ,Didn’t you mean plane for #1?
16,11,3,Matthew Yothers ,"No, train really was #1 for that question, and Karen actually said a bus for that one."
17,13,1,JP Genius ,A $50K Fast Money win. Don’t think that’s happened before.
18,13,2,jpgenius ,"If the Davises won this FM, boy…"
19,13,3,Matthew Yothers ,"$90,970 would’ve been their total, and they would’ve played for the Ford Edge the next game."
20,13,4,Matthew Yothers ,"And also, for the last question, “Something specific people put in their mouths when they’re sick,” I actually found out that thermometer was the #1 answer."
21,13,5,Matthew Yothers ,"And I believe Jacob actually said breath mint for that last question, which probably would’ve been a zero anyway."
22,14,1,JP Genius ,Current girlfriend’s just like the ex? DANG.
23,16,1,Matthew Yothers ,"Oh, man, 2 points short of 20 grand. Sorry, Albertsens."
24,21,1,agusgokil1681 ,"fyi, youngs family win $20k courtesy on youtube after winning 223points in fast money."
25,22,1,JP Genius ,"A man would like to admit, just once, that his wife is FAT?! Right in front of his wife? Ouch…"
26,22,2,jpgenius ,What happened to the Woods family? The next day they were completely replaced.
27,22,3,jpgenius ,"What the- why would you give anyone you’re flirting with THAT, let alone your employee? Gross! 😳"
28,23,1,jpgenius ,"Jumping the Broom was a WAY better answer than Jumping Frog, IMO. I would never have guessed the latter."
29,24,1,JP Genius ,Oregon City had 7 points? Wow.
30,25,1,jpgenius ,GO YOUNGS!!!
31,26,1,twormely99 ,SNICKERS’ the sponsor of this yr.’s Wrestlemania.
32,27,1,Mitchell Hodack ,"What is Washington, D.C.?"
33,27,2,Mitchell Hodack ,What is California?
34,27,3,jpgenius ,Sell your soul?! What?!?! 😳😳😳🙄🙄🙄😳😳😳
35,28,1,bencalebrod ,If only Shirley said garlic in the first game. I’d pay to see what Steve Harvey would do to the second person if Fast Money was already won by the first person.
36,28,2,jpgenius ,I can’t wait for that day to happen.
37,29,1,jpgenius ,Did you know that Carmen Davis was on Wheel back on Christmas Week 2010?
38,30,1,jpgenius ,OH brother. The Lacys have returned. 😁
39,31,1,jpgenius ,"Ah, the start of the Waltons’ adventure."
40,33,1,jpgenius ,"Sorry Rubadues, but I don’t think babysitters work EVERY night, only on weekends. Still, $22,585 isn’t too bad for a 4-day total."
41,34,1,bencalebrod ,"The second game’s fast wins the award for the most intense fast money of all time. I was a bit disappointed by the video, though, as I thought for sure this was going to be the first time that the first player won fast money for the whole family."
42,34,2,jpgenius ,"CLOSE Fast Money in the second game, but I’m glad Rob Jr. just barely got 201 pts. The first game – OH MY GOSH!!! Did they really use that F-bomb and add a Y?!?! This ain’t FAMILY Feud anymore, it’s PROFANITY Feud! SMH…"
43,35,1,jpgenius ,"Line dance? Really? Ride a bull was a GREAT answer, too bad it didn’t earn the Waltons a brand-new car. They’re my new favorite family on the Feud."
44,35,2,jpgenius ,Replace “car” with 🚗.
45,35,3,jpgenius ,"And a woman wants her man to be huge, Amanda? OK now… 😂😂😂 The Waltons are full of funny answers."
46,37,1,jpgenius ,"The best way to pass a – wow, Kenny. WOW. 😳"
47,38,1,Matthew Yothers ,I heard “Name something listed on a wedding invitation.”
48,40,1,jpgenius ,Sorry to see the Raglands lose like that. 😦
49,40,2,jpgenius ,"Worse, the DeVere family lost the car in Sudden Death exactly 6 years prior. Sad. 😥"
50,40,3,Matthew Yothers ,"I’m just curious, how much money did the DeVere family leave with overall?"
51,40,4,jpgenius ,"$20,930 (they won $19,000 in the Bullseye in game 4)."
52,41,1,jpgenius ,I don’t think Mexico’s a state…
53,41,2,jpgenius ,WOW… 😳😳😳
54,43,1,jpgenius ,UGH!!! We can NEVER win a car nowadays!!! What is going on?
55,43,2,ant0824 ,"I’ll tell you, we got a couple of Dumb Families ever"
56,43,3,jpgenius ,"Well, I feel REAL bad for the Gallaghers. They came back from 3 1/2 years prior to lose the car? Sucks."
57,43,4,Matthew Yothers ,"Yeah, but overall, they didn’t do too bad though, they’re still finished their run with $21,570."
58,44,1,jpgenius ,"For the wedding/funeral question, Rhyann actually said sadness. Sadness at a wedding?"
59,44,2,Matthew Yothers ,This is actually the Thurman family’s 2nd game.
60,44,3,Matthew Yothers ,"And for the binge question, Steve said drinking and eating tied for #1."
61,45,1,DAFEWD00 ,"Welcome back, Eggeruds."
62,46,1,Dalton Higbee ,"Don’t worry, guys! The Full J-Archive Games From March 31, April 1 & 6, 2016 will be up soon."
63,47,1,jpgenius ,FINALLY – a car win! WTG Eggeruds!
64,47,2,jpgenius ,Looks like Lauren will have an invention team after her “bad husband” answer in Fast Money.
65,48,1,jpgenius ,WHOA. The first ever Sudden Death with TWO wrong answers?!
66,48,2,jpgenius ,"Also, why are harem and h- answers? This is DEGRADING! Especially harem! 😡"
67,50,1,jpgenius ,"I dunno how James Brown, Whitney Houston, and Bob Marley did NOT make the board."
68,52,1,jpgenius ,ANOTHER car win? Go Boudreauxs! They made my area proud!
69,53,1,jpgenius ,The Harts appeared on the Feud back in 1977 AND 2001. Credit to YouTube.
70,54,1,Dalton Higbee ,I really hope Buzzy wins more than ten games.
71,54,2,jpgenius ,What happened to the Slagles?!?!
72,55,1,jpgenius ,"CNN, really? That’s not a MAGAZINE!"
73,55,2,jpgenius ,There was another game that aired. Between the Harts and the Slagle family from Austin. The Slagles won the game and $20K.
74,58,1,DAFEWD00 ,Pie in the HORSE?!! 🤣 🤣 🤣
75,60,1,ant0824 ,"Celebrities are doing Great at fast Money, In fact we have not got a Loss at Fast Money. 10 for 10 in Fast Money especially from The Band Perry Perfect first half getting 200 before the second half."
76,62,1,jpgenius ,No surprise Jaleel White nailed that FM. Two thumbs up!
